block	trialType	trial	signal	response	correct	ssd	rt
2	testBlocks	69	0	1	2	NA	0.804689083000994
2	testBlocks	70	0	1	2	NA	0.8277052500016
2	testBlocks	71	0	1	2	NA	0.816674417001195
2	testBlocks	72	0	1	2	NA	0.805049833001249
2	testBlocks	73	0	1	2	NA	0.783573999997316
2	testBlocks	74	0	1	2	NA	0.838858708000771
2	testBlocks	75	0	1	2	NA	0.838001666998025
2	testBlocks	76	0	1	2	NA	0.794814917000622
2	testBlocks	77	0	1	2	NA	0.818126666999888
2	testBlocks	78	0	1	2	NA	0.794200959000591
2	testBlocks	79	0	1	2	NA	0.816244207999262
